time="2020-04-29 11:14:10" level=info msg="| 200 |      8.0033ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 11:16:16" level=info msg="| 200 |      2.0021ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 11:16:16" level=info msg="| 200 |      5.0487ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 11:16:27" level=info msg="| 200 |      1.0182ms |             ::1 | GET | /api/auth/captcha?v=0.14500769391380786 |"
time="2020-04-29 11:16:29" level=info msg="| 200 |         997µs |             ::1 | GET | /api/auth/captcha?v=0.035945600041838555 |"
time="2020-04-29 11:16:30" level=info msg="| 200 |       969.8µs |             ::1 | GET | /api/auth/captcha?v=0.869023555112616 |"
time="2020-04-29 11:16:35" level=info msg="| 200 |      9.0002ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 11:18:43" level=info msg="| 200 |       999.7µs |             ::1 | GET | /api/auth/register |"
time="2020-04-29 11:18:44" level=info msg="| 200 |      5.0383ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 11:18:50" level=info msg="| 200 |      1.0291ms |             ::1 | GET | /api/auth/captcha?v=0.6320648334218879 |"
time="2020-04-29 11:19:05" level=info msg="| 200 |      9.0173ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 11:32:33" level=info msg="| 200 |       998.7µs |             ::1 | GET | /api/auth/register |"
time="2020-04-29 11:32:33" level=info msg="| 200 |      4.0056ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 11:32:45" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/captcha?v=0.8493651301906247 |"
time="2020-04-29 11:32:47" level=info msg="| 200 |      1.0003ms |             ::1 | GET | /api/auth/captcha?v=0.32831018211584717 |"
time="2020-04-29 11:32:49" level=info msg="| 200 |      1.9981ms |             ::1 | GET | /api/auth/captcha?v=0.8566672011166971 |"
time="2020-04-29 11:32:53" level=info msg="| 200 |    122.9948ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 11:40:54" level=info msg="| 200 |      3.0214ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 11:40:54" level=info msg="| 200 |      8.0117ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 11:41:06" level=info msg="| 200 |     82.9965ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 13:46:25" level=info msg="| 200 |       998.3µs |             ::1 | GET | /api/auth/register |"
time="2020-04-29 13:46:25" level=info msg="| 200 |     12.0134ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 13:46:33" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/captcha?v=0.7954367813033978 |"
time="2020-04-29 13:46:40" level=info msg="| 200 |    124.9956ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 13:54:45" level=info msg="| 200 |      1.9926ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 13:54:45" level=info msg="| 200 |      3.0001ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 13:54:57" level=info msg="| 200 |     84.0482ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 13:55:00" level=info msg="| 200 |       994.8µs |             ::1 | GET | /api/auth/register |"
time="2020-04-29 13:55:53" level=info msg="| 200 |       998.4µs |             ::1 | GET | /api/auth/register |"
time="2020-04-29 13:55:53" level=info msg="| 200 |     28.9762ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 13:56:04" level=info msg="| 200 |       927.2µs |             ::1 | GET | /api/auth/captcha?v=0.8661945616658933 |"
time="2020-04-29 13:56:05" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/captcha?v=0.4219639044800605 |"
time="2020-04-29 13:56:06" level=info msg="| 200 |      1.0351ms |             ::1 | GET | /api/auth/captcha?v=0.543661860090725 |"
time="2020-04-29 13:56:11" level=info msg="| 200 |     77.6684ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 13:57:13" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/register |"
time="2020-04-29 13:57:13" level=info msg="| 200 |      1.0024ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 13:57:14" level=info msg="| 200 |      1.0287ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 13:57:14" level=info msg="| 200 |      2.0177ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 13:57:23" level=info msg="| 200 |      1.0163ms |             ::1 | GET | /api/auth/captcha?v=0.20078142788458675 |"
time="2020-04-29 13:57:28" level=info msg="| 200 |     80.0082ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 13:59:16" level=info msg="| 200 |      1.0047ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 13:59:16" level=info msg="| 200 |       4.994ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 13:59:17" level=info msg="| 200 |       995.2µs |             ::1 | GET | /api/auth/register |"
time="2020-04-29 13:59:17" level=info msg="| 200 |       999.7µs |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 13:59:27" level=info msg="| 200 |       1.997ms |             ::1 | GET | /api/auth/captcha?v=0.4946148924177236 |"
time="2020-04-29 13:59:31" level=info msg="| 200 |      2.0011ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 13:59:46" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/register |"
time="2020-04-29 13:59:46" level=info msg="| 200 |      1.9531ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 13:59:49" level=info msg="| 200 |       991.6µs |             ::1 | GET | /api/auth/register |"
time="2020-04-29 13:59:49" level=info msg="| 200 |      5.0001ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 13:59:58" level=error msg="用户数据绑定错误error" name=PostRegister
time="2020-04-29 13:59:58" level=info msg="| 400 |      3.0438ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 14:01:55" level=info msg="| 200 |      1.0037ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:01:55" level=info msg="| 200 |      5.9991ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:02:15" level=info msg="| 200 |       999.4µs |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:02:15" level=info msg="| 200 |      3.0266ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:02:33" level=info msg="| 400 |            0s |             ::1 | POST | /api/auth/register |"
time="2020-04-29 14:02:38" level=info msg="| 200 |       998.1µs |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:02:39" level=info msg="| 200 |       998.4µs |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:02:39" level=info msg="| 200 |      4.0736ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:02:53" level=info msg="| 200 |            0s |             ::1 | POST | /api/auth/register |"
time="2020-04-29 14:02:57" level=info msg="| 200 |      1.0021ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:02:57" level=info msg="| 200 |      8.0143ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:03:12" level=info msg="| 200 |      2.9985ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 14:03:16" level=info msg="| 200 |      1.0038ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:03:17" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:03:17" level=info msg="| 200 |      1.9989ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:03:26" level=info msg="| 200 |      2.0008ms |             ::1 | GET | /api/auth/captcha?v=0.39672784697155294 |"
time="2020-04-29 14:03:31" level=info msg="| 200 |      2.0017ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 14:03:41" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:03:41" level=info msg="| 200 |      1.0043ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:03:42" level=info msg="| 200 |         992µs |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:03:42" level=info msg="| 200 |      5.0032ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:03:56" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/captcha?v=0.36663509797626403 |"
time="2020-04-29 14:03:57" level=info msg="| 200 |       998.3µs |             ::1 | GET | /api/auth/captcha?v=0.2781662916427554 |"
time="2020-04-29 14:04:01" level=info msg="| 200 |      2.0055ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 14:05:46" level=info msg="| 200 |      1.9992ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:05:46" level=info msg="| 200 |     15.0001ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:05:55" level=info msg="| 200 |       2.005ms |             ::1 | GET | /api/auth/captcha?v=0.8698203061679513 |"
time="2020-04-29 14:06:01" level=info msg="| 200 |     84.9979ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 14:08:46" level=info msg="| 200 |      1.0144ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:08:46" level=info msg="| 200 |     29.0031ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:09:14" level=info msg="| 200 |      1.0151ms |             ::1 | GET | /api/auth/captcha?v=0.349243145199835 |"
time="2020-04-29 14:09:17" level=info msg="| 200 |       968.2µs |             ::1 | GET | /api/auth/captcha?v=0.5281446605692197 |"
time="2020-04-29 14:09:23" level=info msg="| 200 |      88.031ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 14:09:40" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:09:40" level=info msg="| 200 |      1.0023ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:09:49" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/captcha?v=0.46237367806754404 |"
time="2020-04-29 14:09:49" level=info msg="| 200 |       992.5µs |             ::1 | GET | /api/auth/captcha?v=0.3991911539478856 |"
time="2020-04-29 14:09:50" level=info msg="| 200 |      1.0012ms |             ::1 | GET | /api/auth/captcha?v=0.11035097218795231 |"
time="2020-04-29 14:09:51" level=info msg="| 200 |       1.004ms |             ::1 | GET | /api/auth/captcha?v=0.7200487565054534 |"
time="2020-04-29 14:09:57" level=info msg="| 200 |     82.9998ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 14:10:56" level=info msg="| 200 |      1.0168ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:10:56" level=info msg="| 200 |      4.0013ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:11:10" level=info msg="| 200 |      3.0001ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 14:11:22" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:11:22" level=info msg="| 200 |       998.4µs |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:11:23" level=info msg="| 200 |       999.7µs |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:11:23" level=info msg="| 200 |      5.0054ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:11:35" level=info msg="| 200 |      1.0315ms |             ::1 | GET | /api/auth/captcha?v=0.31990573194033955 |"
time="2020-04-29 14:11:40" level=info msg="| 200 |      2.0158ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 14:11:52" level=info msg="| 200 |       986.2µs |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:11:52" level=info msg="| 200 |      3.0218ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:11:54" level=info msg="| 200 |      1.0119ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:11:54" level=info msg="| 200 |      1.0166ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:12:20" level=info msg="| 200 |     79.5416ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 14:13:18" level=info msg="| 200 |       999.9µs |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:13:18" level=info msg="| 200 |      6.9668ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:13:19" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:13:19" level=info msg="| 200 |      2.0222ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:13:34" level=info msg="| 200 |      77.041ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 14:14:12" level=info msg="| 200 |      1.0298ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:14:12" level=info msg="| 200 |      5.0028ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:14:13" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:14:13" level=info msg="| 200 |      3.0047ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:14:18" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:14:18" level=info msg="| 200 |      2.0141ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:14:35" level=info msg="| 200 |            0s |             ::1 | POST | /api/auth/register |"
time="2020-04-29 14:14:43" level=info msg="| 200 |       997.3µs |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:14:43" level=info msg="| 200 |      1.0005ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:14:45" level=info msg="| 200 |       996.9µs |             ::1 | GET | /api/auth/captcha?v=0.5058567073781339 |"
time="2020-04-29 14:14:48" level=info msg="| 200 |      1.0104ms |             ::1 | GET | /api/auth/captcha?v=0.9876080449224871 |"
time="2020-04-29 14:15:05" level=info msg="| 200 |            0s |             ::1 | POST | /api/auth/register |"
time="2020-04-29 14:15:57" level=info msg="| 200 |      1.0016ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:15:57" level=info msg="| 200 |      2.0004ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:15:59" level=info msg="| 200 |       968.7µs |             ::1 | GET | /api/auth/register |"
time="2020-04-29 14:15:59" level=info msg="| 200 |      1.0298ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 14:16:00" level=info msg="| 200 |       998.2µs |             ::1 | GET | /api/auth/captcha?v=0.6416768764789862 |"
time="2020-04-29 14:16:01" level=info msg="| 200 |      1.0306ms |             ::1 | GET | /api/auth/captcha?v=0.8456071167675434 |"
time="2020-04-29 14:16:02" level=info msg="| 200 |       983.4µs |             ::1 | GET | /api/auth/captcha?v=0.4674969965426963 |"
